"product";"rep";"subject";"descriptor";"start";"score";"duration";"stop";"sequenceStart";"sequenceStop";"sequenceDuration";"stdStart";"stdDuration";"stdStop"
"C4";"1";"A81";"Crackly_Hard";2;1;2.119;4;1.546;32.804;31.258;0.06;0.06;0.12
"C4";"1";"A81";"Crispy";4;1;3.402;7;1.546;32.804;31.258;0.12;0.1;0.22
"C4";"1";"A81";"Fat";9;1;4.412;14;1.546;32.804;31.258;0.27;0.13;0.4
"C4";"1";"A81";"Sticky_Pasty";14;1;1.656;16;1.546;32.804;31.258;0.43;0.05;0.48
"C4";"1";"A81";"Crispy";16;1;3.376;19;1.546;32.804;31.258;0.49;0.1;0.59
"C4";"1";"A81";"Potato";19;1;1.845;21;1.546;32.804;31.258;0.58;0.06;0.64
"C4";"1";"A81";"Melting";21;1;2.166;23;1.546;32.804;31.258;0.64;0.07;0.71
"C4";"1";"A81";"Crispy";23;1;3.988;27;1.546;32.804;31.258;0.7;0.12;0.82
"C4";"1";"A81";"Sticky_Pasty";27;1;2.86;30;1.546;32.804;31.258;0.82;0.09;0.91
"C4";"1";"A81";"Bland";30;1;3.046;33;1.546;32.804;31.258;0.91;0.09;1
"C4";"1";"A81";"Crackly_Hard";7;1;2.388;9;1.546;32.804;31.258;0.21;0.07;0.28
"C4";"1";"A82";"Crackly_Hard";4;1;4.199;8;2.597;47.42;44.823;0.08;0.09;0.17
"C4";"1";"A82";"Roasted";3;1;1.129;4;2.597;47.42;44.823;0.06;0.02;0.08
"C4";"1";"A82";"Fat";21;1;2.067;23;2.597;47.42;44.823;0.44;0.04;0.48
"C4";"1";"A82";"Potato";8;1;1.418;9;2.597;47.42;44.823;0.17;0.03;0.2
"C4";"1";"A82";"Bland";9;1;7.722;17;2.597;47.42;44.823;0.19;0.16;0.35
"C4";"1";"A82";"Sticky_Pasty";17;1;3.766;21;2.597;47.42;44.823;0.36;0.08;0.44
"C4";"1";"A82";"Sticky_Pasty";35;1;4.70800000000001;39;2.597;47.42;44.823;0.74;0.1;0.84
"C4";"1";"A82";"Potato";23;1;3.138;26;2.597;47.42;44.823;0.49;0.07;0.56
"C4";"1";"A82";"Sticky_Pasty";26;1;2.647;29;2.597;47.42;44.823;0.55;0.06;0.61
"C4";"1";"A82";"Bland";29;1;5.919;35;2.597;47.42;44.823;0.61;0.12;0.73
"C4";"1";"A82";"Fat";39;1;3.324;43;2.597;47.42;44.823;0.82;0.07;0.89
"C4";"1";"A82";"Potato";43;1;4.786;47;2.597;47.42;44.823;0.91;0.1;1.01
"C4";"1";"A83";"Sticky_Pasty";6;1;2.492;9;6.465;21.476;15.011;0.28;0.12;0.4
"C4";"1";"A83";"Bland";11;1;10.515;21;6.465;21.476;15.011;0.51;0.49;1
"C4";"1";"A83";"Potato";9;1;2.004;11;6.465;21.476;15.011;0.42;0.09;0.51
"C4";"1";"A84";"Potato";10;1;1.86;12;3.082;26.224;23.142;0.38;0.07;0.45
"C4";"1";"A84";"Bland";3;1;2.466;6;3.082;26.224;23.142;0.11;0.09;0.2
"C4";"1";"A84";"Crispy";6;1;2.172;8;3.082;26.224;23.142;0.23;0.08;0.31
"C4";"1";"A84";"Bland";8;1;2.525;10;3.082;26.224;23.142;0.31;0.1;0.41
"C4";"1";"A84";"Sticky_Pasty";24;1;1.217;25;3.082;26.224;23.142;0.92;0.05;0.97
"C4";"1";"A84";"Bland";25;1;0.798000000000002;26;3.082;26.224;23.142;0.95;0.03;0.98
"C4";"1";"A84";"Crispy";12;1;1.296;13;3.082;26.224;23.142;0.46;0.05;0.51
"C4";"1";"A84";"Bland";13;1;4.629;18;3.082;26.224;23.142;0.5;0.18;0.68
"C4";"1";"A84";"Bland";18;1;2.103;20;3.082;26.224;23.142;0.69;0.08;0.77
"C4";"1";"A84";"Bland";20;1;4.076;24;3.082;26.224;23.142;0.76;0.16;0.92
"C4";"1";"A85";"Crackly_Hard";1;1;3.284;5;1.399;23.491;22.092;0.04;0.14;0.18
"C4";"1";"A85";"Potato";21;1;2.065;23;1.399;23.491;22.092;0.89;0.09;0.98
"C4";"1";"A85";"Bland";5;1;16.743;21;1.399;23.491;22.092;0.21;0.71;0.92
"C4";"1";"A86";"Crackly_Hard";7;1;3.574;11;2.845;12.43;9.585;0.56;0.29;0.85
"C4";"1";"A86";"Fat";11;1;0.694000000000001;11;2.845;12.43;9.585;0.88;0.06;0.94
"C4";"1";"A86";"Bland";11;1;0.978999999999999;12;2.845;12.43;9.585;0.88;0.08;0.96
"C4";"1";"A86";"Bland";3;1;4.338;7;2.845;12.43;9.585;0.24;0.35;0.59
"C4";"1";"A87";"Fat";8;1;0.737;9;5.644;18.192;12.548;0.44;0.04;0.48
"C4";"1";"A87";"Sticky_Pasty";6;1;2.54;8;5.644;18.192;12.548;0.33;0.14;0.47
"C4";"1";"A87";"Bland";15;1;1.419;17;5.644;18.192;12.548;0.82;0.08;0.9
"C4";"1";"A87";"Bland";17;1;0.493000000000002;17;5.644;18.192;12.548;0.93;0.03;0.96
"C4";"1";"A87";"Bland";17;1;0.375;18;5.644;18.192;12.548;0.93;0.02;0.95
"C4";"1";"A87";"Bland";18;1;0.292999999999999;18;5.644;18.192;12.548;0.99;0.02;1.01
"C4";"1";"A87";"Bland";18;1;0.355;18;5.644;18.192;12.548;0.99;0.02;1.01
"C4";"1";"A87";"Bland";9;1;5.55;14;5.644;18.192;12.548;0.49;0.31;0.8
"C4";"1";"A87";"Fat";14;1;0.786;15;5.644;18.192;12.548;0.77;0.04;0.81
"C4";"1";"A88";"Bland";2;1;4.138;6;1.781;14.052;12.271;0.14;0.29;0.43
"C4";"1";"A88";"Crispy";6;1;4.569;10;1.781;14.052;12.271;0.43;0.33;0.76
